laneid,s_offset,e_offset,lon,lat,e_spdlmt
2392323726201854722,0,2,120.790812,30.427553,120
2392323726201854723,0,2,120.790849,30.427567,120
2392323726201854724,0,2,120.790886,30.427580,120
2392323726201854725,0,2,120.790922,30.427594,120
2392323726201854977,0,25,120.790778,30.427524,120
2392323726201854978,0,26,120.790818,30.427539,120
2392323726201854979,0,26,120.790855,30.427553,120
2392323726201854980,0,26,120.790891,30.427566,120
2392323726201854981,0,27,120.790927,30.427580,120
2392321557243406595,0,35,120.066895,30.819920,120
2392321557243406596,0,35,120.066857,30.819912,120
2392321557243406597,0,35,120.066818,30.819904,120
2392321557243406851,0,2,120.066812,30.820227,120
2392321557243406852,0,2,120.066774,30.820216,120
2392321557243406853,0,2,120.066736,30.820206,120
2392321557243407107,0,49,120.066809,30.820239,120
2392321557243407108,0,49,120.066770,30.820229,120
2392321557243407109,0,50,120.066732,30.820218,120
2388825080202272001,0,24,105.332669,32.180419,100
2388825080202272002,0,24,105.332669,32.180419,100
2388825080202272003,0,25,105.332645,32.180448,100
2388825080202272257,0,98,105.332883,32.180530,100
2388825080202272258,0,97,105.332876,32.180542,100
2388825080202272259,0,97,105.332857,32.180574,100
2392315767627454721,0,3,120.291484,30.080026,120
2392315767627454722,0,4,120.291448,30.080041,120
2392315767627454723,0,4,120.291413,30.080054,120
2392315767627454724,0,5,120.291377,30.080069,120
2392315767627454977,0,56,120.291497,30.080051,120
2392315767627454978,0,56,120.291463,30.080069,120
2392315767627454979,0,56,120.291429,30.080086,120
2392315767627454980,0,55,120.291396,30.080105,120
2392315776217434113,0,87,120.291732,30.080506,120
2392315776217434114,0,87,120.291697,30.080524,120
2392315776217434115,0,87,120.291663,30.080541,120
2392315776217434116,0,87,120.291629,30.080558,120
2392315776217434369,0,4,120.292073,30.081226,120
2392315776217434370,0,4,120.292038,30.081242,120
2392315776217434371,0,4,120.292004,30.081259,120
2392315776217434372,0,4,120.291970,30.081275,120
2392315776217434625,0,6,120.292087,30.081256,120
2392315776217434626,0,6,120.292052,30.081272,120
2392315776217434627,0,6,120.292017,30.081287,120
2392315776217434628,0,6,120.291982,30.081301,120
2392315776217434881,0,1140,120.292107,30.081302,120
2392315776217434882,0,1139,120.292072,30.081317,120
2392315776217434883,0,1138,120.292037,30.081333,120
2392315776217434884,0,1138,120.292002,30.081348,120
2392315776217435137,0,36,120.294652,30.091323,120
2392315776217435138,0,36,120.294613,30.091331,120
2392315776217435139,0,36,120.294574,30.091338,120
2392315776217435140,0,35,120.294536,30.091347,120
2392315776217435393,0,6,120.294714,30.091635,120
2392315776217435394,0,6,120.294676,30.091642,120
2392315776217435395,0,6,120.294637,30.091650,120
2392315776217435396,0,6,120.294599,30.091658,120
2392315776217435649,0,158,120.294725,30.091688,120
2392315776217435650,0,157,120.294686,30.091695,120
2392315776217435651,0,157,120.294648,30.091703,120
2392315776217435652,0,157,120.294609,30.091711,120
2392315776217410049,0,42,120.295049,30.093077,120
2392315776217410050,0,42,120.295006,30.093084,120
2392315776217410051,0,42,120.294966,30.093090,120
2392315776217410052,0,42,120.294927,30.093096,120
2392315776217410053,0,42,120.294889,30.093102,120
2392315776217417217,0,23,120.295119,30.093451,120
2392315776217417218,0,23,120.295080,30.093456,120
2392315776217417219,0,24,120.295040,30.093462,120
2392315776217417220,0,24,120.295001,30.093468,120
2392315776217417221,0,24,120.294963,30.093474,120
2392315776217417473,0,15,120.295158,30.093653,120
2392315776217417474,0,14,120.295120,30.093660,120
2392315776217417475,0,14,120.295081,30.093668,120
2392315776217417476,0,14,120.295043,30.093676,120
2392315776217417477,0,14,120.295004,30.093684,120
2392315776217426689,0,22,120.295182,30.093779,120
2392315776217426690,0,22,120.295145,30.093784,120
2392315776217426691,0,23,120.295105,30.093790,120
2392315776217426692,0,23,120.295067,30.093796,120
2392315776217426693,0,23,120.295028,30.093801,120
2392315776217426945,0,57,120.295214,30.093972,120
2392315776217426946,0,56,120.295184,30.093978,120
2392315776217426947,0,56,120.295145,30.093986,120
2392315776217426948,0,56,120.295106,30.093993,120
2392315776217426949,0,56,120.295068,30.094001,120
2392049763122967809,0,37,116.158412,28.339748,120
2392049763122967810,0,37,116.158376,28.339727,120
2392049763122967811,0,36,116.158342,28.339708,120
2392049763122968065,0,2,116.158207,28.340026,120
2392049763122968066,0,2,116.158175,28.340000,120
2392049763122968067,0,2,116.158143,28.339978,120
2392049763122968321,0,73,116.158200,28.340035,120
2392049763122968322,0,73,116.158168,28.340010,120
2392049763122968323,0,73,116.158136,28.339987,120
2392049763122968577,0,27,116.157796,28.340583,120
2392049763122968578,0,28,116.157762,28.340558,120
2392049763122968579,0,28,116.157731,28.340535,120
2392447378310320640,0,167,118.995744,33.513327,120
2392447378310320641,0,166,118.995773,33.513352,120
2392447378310325249,0,94,118.997078,33.512331,120
2392447378310325250,0,94,118.997078,33.512331,120
2392447378310325251,0,93,118.997106,33.512357,120
2392447378310325505,0,4,118.997818,33.511752,120
2392447378310325506,0,5,118.997838,33.511780,120
2392447378310325507,0,6,118.997859,33.511810,120
2392447378310325761,0,231,118.997849,33.511729,120
2392447378310325762,0,230,118.997875,33.511754,120
2392447378310325763,0,229,118.997901,33.511779,120
2392447378310326017,0,12,118.999757,33.510399,120
2392447378310326018,0,12,118.999777,33.510428,120
2392447378310326019,0,12,118.999796,33.510460,120
2392447378310326273,0,4,118.999850,33.510336,120
2392447378310326274,0,4,118.999869,33.510365,120
2392447378310326275,0,4,118.999890,33.510396,120
2392447378310326529,0,29,118.999883,33.510314,120
2392447378310326530,0,29,118.999902,33.510343,120
2392447378310326531,0,29,118.999923,33.510374,120
2392447378310326785,0,3,119.000120,33.510154,120
2392447378310326786,0,4,119.000140,33.510184,120
2392447378310326787,0,4,119.000161,33.510214,120
2392447378310323713,0,36,119.000113,33.510111,120
2392447378310323714,0,36,119.000140,33.510141,120
2392447378310323715,0,36,119.000165,33.510166,120
2392447378310323716,0,35,119.000192,33.510194,120
2392447378310323969,0,9,119.000439,33.509936,120
2392447378310323970,0,10,119.000441,33.509940,120
2392447378310323971,0,10,119.000461,33.509970,120
2392447378310323972,0,11,119.000481,33.510000,120
2392447378310324225,0,80,119.000518,33.509890,120
2392447378310324226,0,80,119.000542,33.509916,120
2392447378310324227,0,80,119.000568,33.509942,120
2392447378310322689,0,12,119.001192,33.509447,120
2392447378310322690,0,11,119.001192,33.509447,120
2392447378310322691,0,11,119.001217,33.509473,120
2392447378310322692,0,10,119.001242,33.509500,120
2392447378310322945,0,13,119.001283,33.509383,120
2392447378310322946,0,13,119.001285,33.509387,120
2392447378310322947,0,13,119.001305,33.509416,120
2392447378310322948,0,13,119.001324,33.509447,120
2392447378310323201,0,25,119.001382,33.509309,120
2392447378310323202,0,24,119.001389,33.509320,120
2392447378310323203,0,24,119.001408,33.509349,120
2392447378310323204,0,24,119.001428,33.509380,120
2392447378310323457,0,5,119.001572,33.509158,120
2392447378310323458,0,6,119.001592,33.509188,120
2392447378310323459,0,6,119.001611,33.509218,120
2392447378310323460,0,7,119.001630,33.509250,120
2392290431615383809,0,36,120.872562,29.320674,90
2392290431615383810,0,36,120.872522,29.320675,90
2392290431615383811,0,36,120.872485,29.320676,90
2392290431615384065,0,11,120.872566,29.320997,90
2392290431615384066,0,10,120.872527,29.320999,90
2392290431615384067,0,10,120.872490,29.321000,90
2392290431615384321,0,16,120.872567,29.321089,90
2392290431615384322,0,16,120.872528,29.321089,90
2392290431615384323,0,16,120.872491,29.321090,90
2392290431615384577,0,11,120.872566,29.321225,90
2392290431615384578,0,11,120.872530,29.321225,90
2392290431615384579,0,11,120.872493,29.321226,90
2392290431615384833,0,51,120.872564,29.321322,90
2392290431615384834,0,50,120.872532,29.321322,90
2392290431615384835,0,50,120.872495,29.321323,90
2393679625902368001,0,116,113.479211,35.087521,100
2393679625902368002,0,116,113.479170,35.087518,100
2393679625902368003,0,115,113.479128,35.087515,100
2393679625902368257,0,11,113.479108,35.088555,100
2393679625902368258,0,11,113.479067,35.088551,100
2393679625902368259,0,11,113.479025,35.088547,100
2393679625902368513,0,17,113.479100,35.088652,100
2393679625902368514,0,17,113.479059,35.088648,100
2393679625902368515,0,18,113.479017,35.088645,100
2393679625902368769,0,108,113.479089,35.088804,100
2393679625902368770,0,108,113.479047,35.088801,100
2393679625902368771,0,109,113.479005,35.088798,100
2393679625902371073,0,63,113.479029,35.089774,100
2393679625902371074,0,63,113.478987,35.089772,100
2393679625902371075,0,63,113.478946,35.089771,100
2393679634492328961,0,442,113.479008,35.090335,100
2393679634492328962,0,442,113.478967,35.090334,100
2393679634492328963,0,443,113.478925,35.090333,100
2393679634492329217,0,140,113.479129,35.094308,100
2393679634492329218,0,140,113.479088,35.094311,100
2393679634492329219,0,140,113.479046,35.094314,100
2393679634492329473,0,9,113.479266,35.095558,100
2393679634492329474,0,9,113.479225,35.095564,100
2393679634492329475,0,9,113.479184,35.095569,100
2393679634492329729,0,6,113.479276,35.095637,100
2393679634492329730,0,6,113.479235,35.095642,100
2393679634492329731,0,6,113.479194,35.095648,100
